WildType_Yaviza,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Copulate,254,517,0.0395,0.0188,110.121,53.5,1.788,4.916,1.788,4.968
Male,Copulate,236,469,0.0421,0.0193,210,49.1,2.037,5.393,2.058,5.393
Male,Copulate,224,450,0.0355,0.0176,27.98,49.9,1.994,5.144,1.968,5.16
Male,Copulate,234,480,0.04,0.0195,26.715,50.6,2.035,5.369,2.027,5.363
Male,Copulate,212,434,0.0308,0.0131,7.1,53,1.907,4.985,1.929,5.053
Male,Copulate,239,489,0.024,0.0086,36.99,50.4,1.679,4.539,1.712,
Male,Copulate,258,523,0.0362,0.0158,102.769,43.4,1.984,5.198,1.977,5.199
Male,Copulate,237,459,0.0274,0.0103,1.173,47.7,1.752,4.719,1.6,4.69
Male,Copulate,196,400,0.0415,0.0198,41.482,51.7,2.074,5.403,2.126,5.418
Male,Copulate,247,505,0.0297,0.0142,33.019,49.3,1.771,4.651,1.794,4.73
Male,Copulate,216,448,0.0422,0.0226,16.277,58.9,1.926,5.079,2.01,5.116
Male,Copulate,259,519,0.0424,0.025,58.259,51.9,1.931,,2.071,
Male,Copulate,282,565,0.0358,0.0164,86.312,54,1.992,5.105,2.022,
Male,Copulate,232,466,0.0284,0.0122,117.081,46.6,1.865,4.871,1.844,4.857
Male,Copulate,241,499,0.0393,0.0156,185.664,52.5,2.086,5.375,2.057,5.385
Male,Copulate,223,451,0.0418,0.0212,175.613,56.2,1.906,5.31,20.39,
Male,Copulate,258,538,0.0344,0.0145,87.829,62.8,1.969,,1.965,5.16
Male,Copulate,228,456,0.0251,0.0102,40.693,60.7,1.727,4.718,1.764,4.718
Male,Copulate,242,491,0.0413,0.0174,144.76,47.5,1.918,5.294,2.015,5.365
Male,Copulate,236,508,0.0373,0.0191,101.852,52,1.873,4.887,1.952,4.946
Male,Copulate,237,474,0.0337,0.0148,7.82,65.7,1.904,4.897,1.965,4.931
Male,Copulate,232,461,0.0358,0.0131,117.247,53.7,2.06,5.25,2.045,5.265
Male,Copulate,239,486,0.0408,0.0198,109.819,53.3,2.093,5.301,2.094,5.31
Male,Copulate,244,495,0.0387,0.019,10.478,44.8,2.01,,2.085,
Male,Copulate,236,473,0.0309,0.0229,48.205,55.6,1.963,5.182,1.977,5.216
Male,Copulate,238,488,0.0421,0.0164,81.372,49.7,2.068,5.408,2.065,5.417
Male,Copulate,229,442,0.033,0.015,4.807,53.3,1.898,4.962,1.979,4.998
Male,Copulate,237,481,0.0352,0.0147,36.542,51.3,1.941,5.157,1.913,5.189
Male,Copulate,237,484,0.0338,0.0128,6.676,47.7,2.013,5.217,2.008,5.345
Male,Copulate,235,473,0.0357,0.017,98.638,54.2,,,1.909,5.182
Male,Copulate,248,504,0.0309,0.0097,20.91,57,1.944,5.027,1.952,5.012
Male,Copulate,206,421,0.0314,0.0105,13.148,50.9,1.838,5.098,1.81,
