J06_No_Irrad,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Copulate,240,590,0.0259,0.0069,1.486,59.5,,,1.877,
Male,Copulate,184,365,0.029,0.0082,13.537,50.7,2.005,5.3,1.99,
Male,Copulate,169,351,0.0397,0.0119,14.199,49.4,2.262,5.742,2.251,5.818
Male,Copulate,256,507,0.0238,0.0077,15.441,49,,,1.863,4.746
Male,Copulate,218,480,0.0424,0.011,37.373,47.3,2.045,5.3,,
Male,Copulate,263,519,0.0282,0.0094,4.389,50.6,,,1.985,5.13
Male,Copulate,234,438,0.0366,0.0108,73.765,56.4,,,2.11,5.358
Male,Copulate,228,447,0.0369,0.0105,18.913,47.2,2.119,,2.078,5.505
Male,Copulate,233,593,0.0387,0.0121,1.138,56.1,1.938,5.486,2.162,5.537
Male,Copulate,237,711,0.0293,0.0097,1.904,48.9,,,1.87,4.93
Male,Copulate,192,408,0.0387,0.0099,107.846,52.8,1.951,5.233,2.083,5.274
Male,Copulate,240,457,0.0287,0.0097,15.790,55.4,,,2.086,5.425
Male,Copulate,252,502,0.0264,0.0093,63.89,49.9,2.121,,,
Male,Copulate,226,462,0.027,0.0086,17.453,55.5,2.015,5.001,2.038,5.1
Male,Copulate,236,489,0.0296,0.0099,118.2,46.7,1.998,5.172,1.978,5.215
Male,Copulate,246,494,0.0316,0.0105,3.869,57.1,2.246,,2.081,5.454
Male,Copulate,233,453,0.0256,0.0085,109.784,59.1,,,2.015,
Male,Copulate,219,443,0.0262,0.0096,1.190,41.9,1.995,5.334,1.979,5.364
Male,Copulate,197,394,0.0266,0.0089,10.542,54.4,1.984,5.127,1.913,5.142
Male,Copulate,229,475,0.0319,0.0097,182.462,54.2,2.005,5.102,1.963,4.959
Male,Copulate,207,403,0.031,0.0095,210,53.2,2.036,,1.99,5.319
Male,Copulate,202,408,0.0331,0.0107,7.152,55.3,2.034,5.331,2.042,5.3
Male,Copulate,234,431,0.0342,0.0108,36.88,52.5,,,2.099,5.361
