J06_Irrad,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Copulate,200,421,0.0291,0.0103,127.083,51.1,1.843,5.005,1.858,5.074
Male,Copulate,239,501,0.0326,0.0113,182.39,51.4,1.915,5.225,1.894,
Male,Copulate,209,430,0.0274,0.01,116.03,60.6,2.063,,1.759,5.187
Male,Copulate,195,381,0.0265,0.0099,121.789,59,2.007,,1.984,5.247
Male,Copulate,205,427,0.0328,0.0115,44.751,56.6,2.07,5.484,2.053,5.506
Male,Copulate,201,426,0.0265,0.0093,12.144,50.4,2.001,5.228,1.968,5.251
Male,Copulate,199,403,0.0262,0.0099,72.876,46.9,2.009,,2.032,5.218
Male,Copulate,234,470,0.0259,0.0098,73.239,51.3,1.97,,1.819,5.164
Male,Copulate,217,431,0.0251,0.0104,32.357,52.2,1.841,4.954,1.892,4.974
Male,Copulate,227,450,0.0328,0.0096,31.765,52.4,1.958,5.127,,
Male,Copulate,220,444,0.0365,0.0105,36.362,55.6,1.971,5.114,2.029,5.14
Male,Copulate,218,439,0.0294,0.0104,61.301,55.9,1.876,5.007,1.745,4.992
Male,Copulate,198,405,0.0286,0.009,26.761,57.8,2.035,4.883,1.961,5.074
Male,Copulate,195,401,0.033,0.0113,9.694,57.9,1.943,5.476,2.129,5.533
Male,Copulate,184,370,0.0296,0.0104,61.556,47.1,1.908,5.271,2.032,5.36
Male,Copulate,171,344,0.0334,0.0109,54.161,68.8,2.032,5.404,2.119,5.519
Male,Copulate,161,346,0.0358,0.0119,4.087,54.8,2.02,5.578,2.093,5.668
Male,Copulate,203,418,0.0228,0.0082,1.3,66.7,1.975,,1.995,
Male,Copulate,190,377,0.0317,0.0105,43.979,62,2.08,5.315,2.073,5.367
Male,Copulate,172,352,0.025,0.0088,2.798,60.5,1.909,5.076,1.925,5.163
Male,Copulate,208,427,0.0253,0.0087,2.287,53.2,2.015,5.022,,
Male,Copulate,183,369,0.0224,0.0072,3.669,67.2,1.8,4.969,1.981,5.033
Male,Copulate,159,323,0.0305,0.0107,8.568,61.9,1.996,5.145,1.91,5.224
Male,Copulate,161,331,0.0281,0.0104,1.753,57.1,2.006,5.326,2.079,5.366
Male,Copulate,213,452,0.0322,0.0146,4.844,54,1.906,5.02,1.88,5.05
