group,gender,WB_Arm1,WB_Arm2
J06_No_Irrad,Female,196,401
J06_No_Irrad,Female,185,366
J06_No_Irrad,Female,218,427
J06_No_Irrad,Female,231,460
J06_No_Irrad,Female,224,452
J06_No_Irrad,Female,201,433
J06_No_Irrad,Female,208,424
J06_No_Irrad,Female,233,471
J06_No_Irrad,Female,205,410
J06_No_Irrad,Female,248,498
J06_No_Irrad,Female,206,414
J06_No_Irrad,Female,228,447
J06_No_Irrad,Female,220,456
J06_No_Irrad,Female,207,417
J06_No_Irrad,Female,205,409
J06_No_Irrad,Female,226,453
J06_No_Irrad,Female,194,388
J06_No_Irrad,Female,202,402
J06_No_Irrad,Female,163,337
J06_No_Irrad,Female,241,588
J06_No_Irrad,Female,207,411
J06_No_Irrad,Female,158,355
J06_No_Irrad,Female,163,327
J06_No_Irrad,Female,215,604
J06_No_Irrad,Female,207,378
J06_No_Irrad,Female,196,397
J06_No_Irrad,Female,184,384
J06_No_Irrad,Female,206,562
J06_No_Irrad,Female,237,459
J06_No_Irrad,Female,213,433
J06_No_Irrad,Female,211,429
J06_No_Irrad,Female,236,375
J06_No_Irrad,Female,246,502
J06_No_Irrad,Female,220,418
J06_No_Irrad,Female,253,498
J06_No_Irrad,Female,246,514
J06_No_Irrad,Female,243,420
J06_No_Irrad,Female,208,416
J06_No_Irrad,Female,212,429
J06_No_Irrad,Female,237,479
J06_No_Irrad,Female,215,423
J06_No_Irrad,Female,236,429
J06_No_Irrad,Female,227,457
J06_No_Irrad,Female,222,445
J06_No_Irrad,Female,234,467
J06_No_Irrad,Female,239,482
J06_No_Irrad,Female,235,475
J06_No_Irrad,Female,213,420
J06_No_Irrad,Female,237,476
J06_No_Irrad,Female,229,455
J06_No_Irrad,Female,226,450
J06_No_Irrad,Female,227,457
J06_No_Irrad,Female,236,377
J06_Irrad,Male,263,516
J06_Irrad,Male,251,502
J06_Irrad,Male,240,480
J06_Irrad,Male,253,504
J06_Irrad,Male,242,488
J06_Irrad,Male,244,488
J06_Irrad,Male,236,500
J06_Irrad,Male,217,439
J06_Irrad,Male,240,486
J06_Irrad,Male,252,545
J06_Irrad,Male,233,468
J06_Irrad,Male,253,516
J06_Irrad,Male,218,446
J06_Irrad,Male,199,404
J06_Irrad,Male,231,463
J06_Irrad,Male,228,453
J06_Irrad,Male,241,495
J06_Irrad,Male,230,459
J06_Irrad,Male,264,555
J06_Irrad,Male,246,502
J06_Irrad,Male,247,501
J06_Irrad,Male,242,489
J06_Irrad,Male,262,522
J06_Irrad,Male,219,453
J06_Irrad,Male,208,449
J06_Irrad,Male,235,473
J06_Irrad,Male,238,474
J06_Irrad,Male,247,521
J06_Irrad,Male,247,494
J06_Irrad,Male,237,478
J06_Irrad,Male,239,484
J06_Irrad,Male,229,447
J06_Irrad,Male,243,494
J06_Irrad,Male,209,426
J06_Irrad,Male,237,485
J06_Irrad,Male,236,493
J06_Irrad,Male,265,531
J06_Irrad,Male,238,509
J06_Irrad,Male,217,462
J06_Irrad,Male,207,409
J06_Irrad,Male,223,456
J06_Irrad,Male,235,465
J06_Irrad,Male,248,494
J06_Irrad,Male,233,470
J06_Irrad,Male,232,473
J06_Irrad,Male,269,532
J06_Irrad,Male,239,495
J06_Irrad,Male,263,531
J06_Irrad,Male,202,414
J06_Irrad,Male,238,482
J06_Irrad,Male,239,488
J06_Irrad,Male,257,507
J06_Irrad,Male,250,507
J06_Irrad,Male,256,513
J06_Irrad,Male,255,516
J06_Irrad,Male,218,443
J06_Irrad,Male,241,495
J06_Irrad,Male,244,509
J06_Irrad,Male,243,488
J06_Irrad,Male,251,512
J06_Irrad,Male,247,496
J06_Irrad,Male,168,346
J06_Irrad,Male,217,430
J06_Irrad,Male,229,463
J06_Irrad,Male,214,430
J06_Irrad,Male,228,459
J06_Irrad,Male,226,441
J06_Irrad,Male,226,460
J06_Irrad,Male,200,421
J06_Irrad,Male,239,501
J06_Irrad,Male,209,430
J06_Irrad,Male,195,381
J06_Irrad,Male,205,427
J06_Irrad,Male,201,426
J06_Irrad,Male,199,403
J06_Irrad,Male,234,470
J06_Irrad,Male,217,431
J06_Irrad,Male,227,450
J06_Irrad,Male,220,444
J06_Irrad,Male,218,439
J06_Irrad,Male,198,405
J06_Irrad,Male,195,401
J06_Irrad,Male,184,370
J06_Irrad,Male,171,344
J06_Irrad,Male,161,346
J06_Irrad,Male,203,418
J06_Irrad,Male,190,377
J06_Irrad,Male,172,352
J06_Irrad,Male,208,427
J06_Irrad,Male,183,369
J06_Irrad,Male,159,323
J06_Irrad,Male,161,331
J06_Irrad,Male,213,452
J06_Irrad,Male,221,443
J06_Irrad,Male,224,451
J06_Irrad,Male,197,398
J06_Irrad,Male,233,471
J06_Irrad,Male,196,418
J06_Irrad,Male,218,456
J06_Irrad,Male,196,429
J06_Irrad,Male,188,373
J06_Irrad,Male,183,383
J06_Irrad,Male,194,409
J06_Irrad,Male,158,329
J06_Irrad,Male,186,366
J06_Irrad,Male,173,366
J06_Irrad,Male,169,353
J06_Irrad,Male,200,417
J06_Irrad,Male,194,390
J06_Irrad,Male,186,397
J06_Irrad,Male,158,322
J06_Irrad,Male,246,412
J06_Irrad,Male,153,456
J06_Irrad,Male,164,331
J06_Irrad,Male,158,366
J06_Irrad,Male,223,506
J06_Irrad,Male,160,319
J06_Irrad,Male,164,370
J06_Irrad,Male,162,367
J06_Irrad,Male,149,304
J06_Irrad,Female,195,403
J06_Irrad,Female,226,466
J06_Irrad,Female,239,483
J06_Irrad,Female,198,412
J06_Irrad,Female,228,459
J06_Irrad,Female,239,508
J06_Irrad,Female,221,441
J06_Irrad,Female,237,482
J06_Irrad,Female,230,466
J06_Irrad,Female,221,447
J06_Irrad,Female,240,497
J06_Irrad,Female,234,483
J06_Irrad,Female,237,483
J06_Irrad,Female,237,476
J06_Irrad,Female,237,475
J06_Irrad,Female,255,523
J06_Irrad,Female,277,552
J06_Irrad,Female,239,492
J06_Irrad,Female,224,463
J06_Irrad,Female,194,411
J06_Irrad,Female,221,443
